ID,answer
TG_A_J_20230304,2947.1736
TG_A_J_20230305,1696.6632
TG_A_J_20230306,2382.1367
TG_A_J_20230307,2962.097
TG_A_J_20230308,3452.7734
TG_A_J_20230309,4010.4785
TG_A_J_20230310,3618.158
TG_A_J_20230311,3426.4648
TG_A_J_20230312,2159.335
TG_A_J_20230313,3380.3613
TG_A_J_20230314,3661.7263
TG_A_J_20230315,3490.7642
TG_A_J_20230316,3880.0854
TG_A_J_20230317,3840.1606
TG_A_J_20230318,4388.87
TG_A_J_20230319,2265.141
TG_A_J_20230320,2520.3179
TG_A_J_20230321,4300.585
TG_A_J_20230322,4257.338
TG_A_J_20230323,4783.6274
TG_A_J_20230324,4478.037
TG_A_J_20230325,4556.881
TG_A_J_20230326,2990.9053
TG_A_J_20230327,4096.1313
TG_A_J_20230328,4764.08
TG_A_J_20230329,2826.214
TG_A_J_20230330,5024.0073
TG_A_J_20230331,4903.3022
TG_A_S_20230304,3577.058
TG_A_S_20230305,2430.4062
TG_A_S_20230306,3097.5215
TG_A_S_20230307,3796.8022
TG_A_S_20230308,4114.8438
TG_A_S_20230309,4535.934
TG_A_S_20230310,4146.735
TG_A_S_20230311,3955.0447
TG_A_S_20230312,2687.9148
TG_A_S_20230313,3918.387
TG_A_S_20230314,4199.7544
TG_A_S_20230315,4028.7922
TG_A_S_20230316,4396.5444
TG_A_S_20230317,4356.62
TG_A_S_20230318,4953.9297
TG_A_S_20230319,3217.2969
TG_A_S_20230320,3133.5435
TG_A_S_20230321,4913.8086
TG_A_S_20230322,4870.5615
TG_A_S_20230323,5393.0713
TG_A_S_20230324,5087.4795
TG_A_S_20230325,5166.3247
TG_A_S_20230326,3600.3486
TG_A_S_20230327,4655.064
TG_A_S_20230328,5323.0137
TG_A_S_20230329,3460.3623
TG_A_S_20230330,5588.058
TG_A_S_20230331,5443.801
TG_B_J_20230304,3242.6296
TG_B_J_20230305,1992.1194
TG_B_J_20230306,2677.5928
TG_B_J_20230307,3015.3926
TG_B_J_20230308,3551.0364
TG_B_J_20230309,3684.1873
TG_B_J_20230310,3478.8328
TG_B_J_20230311,3277.395
TG_B_J_20230312,2080.4272
TG_B_J_20230313,3301.4536
TG_B_J_20230314,3416.7085
TG_B_J_20230315,3245.7463
TG_B_J_20230316,3792.926
TG_B_J_20230317,3753.0012
TG_B_J_20230318,4301.71
TG_B_J_20230319,2119.6082
TG_B_J_20230320,2468.8127
TG_B_J_20230321,4249.079
TG_B_J_20230322,4205.832
TG_B_J_20230323,4729.9517
TG_B_J_20230324,4400.9463
TG_B_J_20230325,4247.87
TG_B_J_20230326,2908.8804
TG_B_J_20230327,3997.1643
TG_B_J_20230328,4665.113
TG_B_J_20230329,2758.7434
TG_B_J_20230330,4956.5366
TG_B_J_20230331,4835.8315
TG_B_S_20230304,3603.8914
TG_B_S_20230305,2457.2395
TG_B_S_20230306,3124.3547
TG_B_S_20230307,3581.4749
TG_B_S_20230308,3944.4858
TG_B_S_20230309,4048.52
TG_B_S_20230310,3843.1658
TG_B_S_20230311,3641.7278
TG_B_S_20230312,2444.76
TG_B_S_20230313,3675.2346
TG_B_S_20230314,3790.4895
TG_B_S_20230315,3619.5273
TG_B_S_20230316,4166.707
TG_B_S_20230317,4126.782
TG_B_S_20230318,4681.4233
TG_B_S_20230319,2886.416
TG_B_S_20230320,2896.6924
TG_B_S_20230321,4676.957
TG_B_S_20230322,4633.71
TG_B_S_20230323,5157.831
TG_B_S_20230324,4828.8247
TG_B_S_20230325,4675.749
TG_B_S_20230326,3336.7595
TG_B_S_20230327,4374.5317
TG_B_S_20230328,5042.4814
TG_B_S_20230329,3397.8906
TG_B_S_20230330,5525.587
TG_B_S_20230331,5479.5464
TG_C_J_20230304,4157.339
TG_C_J_20230305,3001.961
TG_C_J_20230306,3687.4346
TG_C_J_20230307,4114.0156
TG_C_J_20230308,4549.2075
TG_C_J_20230309,4727.5903
TG_C_J_20230310,4522.2354
TG_C_J_20230311,4320.7974
TG_C_J_20230312,3123.8328
