ID,answer
TG_A_J_20230304,3183.661
TG_A_J_20230305,2218.0403
TG_A_J_20230306,1619.5874
TG_A_J_20230307,3205.6711
TG_A_J_20230308,3774.634
TG_A_J_20230309,3889.8682
TG_A_J_20230310,3971.8184
TG_A_J_20230311,3722.7954
TG_A_J_20230312,2518.2424
TG_A_J_20230313,3335.574
TG_A_J_20230314,3651.613
TG_A_J_20230315,3914.9214
TG_A_J_20230316,4105.3027
TG_A_J_20230317,4314.751
TG_A_J_20230318,4434.61
TG_A_J_20230319,2807.2063
TG_A_J_20230320,3447.3577
TG_A_J_20230321,4818.175
TG_A_J_20230322,4357.2583
TG_A_J_20230323,4422.3813
TG_A_J_20230324,4224.392
TG_A_J_20230325,5290.11
TG_A_J_20230326,3874.9695
TG_A_J_20230327,4847.519
TG_A_J_20230328,5091.4233
TG_A_J_20230329,3362.1187
TG_A_J_20230330,5821.9243
TG_A_J_20230331,5809.5903
TG_A_S_20230304,3918.3396
TG_A_S_20230305,2912.6675
TG_A_S_20230306,2343.875
TG_A_S_20230307,3929.959
TG_A_S_20230308,4308.5605
TG_A_S_20230309,4370.1978
TG_A_S_20230310,4452.148
TG_A_S_20230311,4203.126
TG_A_S_20230312,2798.6724
TG_A_S_20230313,3616.004
TG_A_S_20230314,3932.043
TG_A_S_20230315,4290.824
TG_A_S_20230316,4515.208
TG_A_S_20230317,4724.656
TG_A_S_20230318,4844.515
TG_A_S_20230319,3233.3162
TG_A_S_20230320,3873.4673
TG_A_S_20230321,5244.284
TG_A_S_20230322,4696.8457
TG_A_S_20230323,4761.9688
TG_A_S_20230324,4563.9795
TG_A_S_20230325,5625.662
TG_A_S_20230326,4210.521
TG_A_S_20230327,5183.0713
TG_A_S_20230328,5426.9756
TG_A_S_20230329,4081.0054
TG_A_S_20230330,6302.8643
TG_A_S_20230331,6288.4604
TG_B_J_20230304,3441.6663
TG_B_J_20230305,2503.1826
TG_B_J_20230306,1904.7297
TG_B_J_20230307,3444.3386
TG_B_J_20230308,3718.76
TG_B_J_20230309,3810.2063
TG_B_J_20230310,3877.2458
TG_B_J_20230311,3620.7385
TG_B_J_20230312,2488.759
TG_B_J_20230313,3175.094
TG_B_J_20230314,3398.6912
TG_B_J_20230315,3598.735
TG_B_J_20230316,3882.26
TG_B_J_20230317,4165.2095
TG_B_J_20230318,4363.9077
TG_B_J_20230319,2746.2864
TG_B_J_20230320,3381.3174
TG_B_J_20230321,4752.1357
TG_B_J_20230322,4291.2197
TG_B_J_20230323,4454.7153
TG_B_J_20230324,4256.7256
TG_B_J_20230325,5383.7866
TG_B_J_20230326,3916.6348
TG_B_J_20230327,4888.35
TG_B_J_20230328,5132.2544
TG_B_J_20230329,3146.318
TG_B_J_20230330,5726.0522
TG_B_J_20230331,5840.609
TG_B_S_20230304,3847.5208
TG_B_S_20230305,2868.9868
TG_B_S_20230306,2300.194
TG_B_S_20230307,3839.8032
TG_B_S_20230308,4097.012
TG_B_S_20230309,4097.8813
TG_B_S_20230310,4097.8916
TG_B_S_20230311,3841.3855
TG_B_S_20230312,2564.5999
TG_B_S_20230313,3221.4773
TG_B_S_20230314,3445.0745
TG_B_S_20230315,3740.5903
TG_B_S_20230316,4058.1196
TG_B_S_20230317,4341.069
TG_B_S_20230318,4539.766
TG_B_S_20230319,2938.3489
TG_B_S_20230320,3573.3809
TG_B_S_20230321,4944.1987
TG_B_S_20230322,4355.5156
TG_B_S_20230323,4519.011
TG_B_S_20230324,4321.0215
TG_B_S_20230325,5444.0483
